i,X,Y,D,DX
1,0,40040,0,0
2,0,40100,0,0
3,0,40430,0,0
4,0,40900,0,0
5,0,40500,0,0
6,0,40650,0,0
7,4,40560,0,0
8,8,40190,0,0
9,12,39840,0,0
10,6,40000,0,0
11,7,39790,0,0
12,8,40050,0,0
13,10,40100,0,0
14,10,39950,0,0
15,15,39230,0,0
16,11,38960,0,0
17,18,38190,0,0
18,25,36270,0,0
19,14,37090,0,0
20,18,36800,0,0
21,19,37250,0,0
22,36,37920,0,0
23,32,37410,0,0
24,33,35930,0,0
25,28,36190,0,0
26,59,35470,0,0
27,53,34820,0,0
28,56,33220,0,0
29,31,32950,0,0
30,17,34880,1,17
31,45,35510,1,45
32,41,37230,1,41
33,48,37810,1,48
34,39,38610,1,39
35,72,39640,1,72
36,96,39730,1,96
37,93,40400,1,93
38,173,40930,1,173
39,93,41610,1,93
40,242,41950,1,242
41,268,41330,1,268
42,279,41880,1,279
43,358,42920,1,358
44,244,43190,1,244
45,368,43590,1,368
46,526,43730,1,526
47,578,44370,1,578
48,507,44310,1,507
49,305,45480,1,305
50,480,46730,1,480
51,549,47000,1,549
52,576,46830,1,576
53,376,45930,1,376
54,345,46030,1,345
55,391,46980,1,391
56,443,46660,1,443
57,435,46900,1,435
58,220,46840,1,220
59,174,46220,1,174
60,223,44650,1,223
61,201,44650,1,201
62,104,46100,1,104
63,88,44300,1,88
64,70,43640,1,70
65,45,44850,1,45
66,81,45000,1,81
67,55,44770,1,55
68,100,45010,1,100
69,26,44550,1,26
70,31,43980,1,31
71,27,44210,1,27
72,39,45060,1,39
73,38,44880,1,38
74,42,44600,1,42
75,21,44600,1,21
76,29,44100,1,29
77,35,43860,1,35
78,63,43540,1,63
79,35,44460,1,35
80,37,44070,1,37
81,51,44630,1,51
82,31,45240,1,31
83,47,45850,1,47
84,38,45070,1,38
85,21,45200,1,21
86,45,45340,1,45
87,38,47030,1,38
88,42,47640,1,42
89,75,46970,1,75
90,72,47590,1,72
91,44,48740,1,44
92,46,50110,1,46
93,70,50520,1,70
